location,bucket_id,High-Frequency Acceleration_count,High-Frequency Acceleration_mean,High-Frequency Acceleration_std,High-Frequency Acceleration_min,High-Frequency Acceleration_max,Low-Frequency Acceleration Z_count,Low-Frequency Acceleration Z_mean,Low-Frequency Acceleration Z_std,Low-Frequency Acceleration Z_min,Low-Frequency Acceleration Z_max,Temperature_count,Temperature_mean,Temperature_std,Temperature_min,Temperature_max,Vibration Velocity Z_count,Vibration Velocity Z_mean,Vibration Velocity Z_std,Vibration Velocity Z_min,Vibration Velocity Z_max,alignment_status_rating,bearing_lubrication_rating,crest_factor_rating,electromagnetic_status_rating,fit_condition_rating,kurtosis_opt_rating,rms_10_25khz_rating,rms_1_10khz_rating,rotor_balance_status_rating,rubbing_condition_rating,velocity_rms_rating,peak_value_opt_rating,datetime,bucket_end
Gear Reducer,38,240,1.7006992083333332,0.07108644422762418,1.53116,1.81756,240,1.5938233333333334,0.07092157600937908,1.42773,1.71612,240,41.66583333333333,0.19340413746999627,41.3,42.0,240,2.4558784583333333,0.3599380181959137,1.7153,2.93565,80.48,96.67,91.52,98.0,89.87,86.91,98.0,96.83,84.22,98.12,66.01,90.9,2025-04-01 12:20:05,2025-04-01 12:40:00
Gear Reducer,39,240,1.688030375,0.06985268891911871,1.51715,1.85479,240,1.6073639583333335,0.0663913082334746,1.41342,1.77165,240,42.114583333333336,0.1703916032726711,41.9,42.4,240,2.317687208333333,0.309808159986573,1.60952,2.84756,82.24,97.34,91.99,98.0,88.79,87.08,98.0,96.98,81.15,97.72,69.79,90.48,2025-04-01 12:40:05,2025-04-01 13:00:00
Gear Reducer,40,240,1.7181522083333334,0.13961666353906577,1.4573,2.20268,240,1.6457527083333334,0.14637266430238016,1.37394,2.15171,240,42.50916666666667,0.14434722973999708,42.3,42.9,240,2.3368689166666665,0.45893658274090665,1.55552,3.62409,88.02,97.43,90.57,98.0,91.25,86.68,98.0,96.94,80.92,97.73,69.75,91.39,2025-04-01 13:00:05,2025-04-01 13:20:00
Gear Reducer,41,240,1.7171779583333333,0.1416223853381538,1.4907,2.22845,240,1.6464265833333334,0.14839715051001126,1.41327,2.18007,240,42.905833333333334,0.1272797685023525,42.7,43.2,240,2.382639208333333,0.4703890781051641,1.73706,3.79471,81.23,97.72,91.07,98.0,88.88,87.04,98.0,96.84,85.96,97.35,68.5,90.09,2025-04-01 13:20:05,2025-04-01 13:40:00
Gear Reducer,42,240,1.6511917916666665,0.06792478818453966,1.46684,1.84187,240,1.5702989166666665,0.06832369418515082,1.37496,1.76536,240,42.94666666666667,0.24441316734944143,42.6,43.4,240,2.2960189166666667,0.3143714349541627,1.70108,2.95624,83.18,97.39,92.22,98.0,90.57,87.1,98.0,96.9,86.45,97.46,68.8,90.33,2025-04-01 13:40:05,2025-04-01 14:00:00
Gear Reducer,43,240,1.6797989583333333,0.11458745518389547,1.50189,2.20434,240,1.602534,0.11827222196498875,1.41396,2.15429,240,42.829166666666666,0.20876037125874616,42.6,43.3,240,2.3987464166666665,0.4070014819178673,1.75302,3.6969,83.19,97.32,91.8,98.0,90.53,86.7,98.0,96.93,87.95,97.83,68.92,89.79,2025-04-01 14:00:05,2025-04-01 14:20:00
Gear Reducer,44,240,1.7170887916666666,0.14854693405856315,1.49192,2.20695,240,1.64588925,0.15443060166565392,1.407,2.1593,240,43.130833333333335,0.1779924465198757,42.7,43.4,240,2.475261625,0.4934729520105103,1.65135,3.85584,79.67,97.56,91.85,98.0,89.76,86.97,98.0,96.91,84.52,97.65,69.09,91.05,2025-04-01 14:20:05,2025-04-01 14:40:00
Gear Reducer,45,240,1.665397875,0.07651917061232233,1.47381,1.87414,240,1.569885375,0.07827678703257632,1.35653,1.7919,240,43.53541666666667,0.1122042058992327,43.3,43.7,240,2.39517,0.3686677650551985,1.6936,3.09461,80.94,97.08,91.43,98.0,90.69,86.95,98.0,96.77,86.43,98.09,66.93,91.02,2025-04-01 14:40:05,2025-04-01 15:00:00
Gear Reducer,46,240,1.693791375,0.14578894881016383,1.47345,2.30208,240,1.6119131666666666,0.15582650123723552,1.3888,2.25495,240,43.46375,0.17009257877887515,43.2,43.7,240,2.4363345,0.48281694951294657,1.70195,3.9201,81.47,97.34,91.51,98.0,86.91,86.9,98.0,97.11,86.92,97.58,75.15,92.25,2025-04-01 15:00:05,2025-04-01 15:20:00
Gear Reducer,47,240,1.607399375,0.4640403230928246,0.04029,2.33005,240,1.5336487083333334,0.45491004347818104,0.01684,2.28265,240,43.40416666666667,0.17035323053004373,43.1,43.7,240,2.27911375,0.8102307488709645,0.05734,4.00926,82.31,97.64,91.32,98.0,87.1,85.1,98.0,96.98,87.29,97.89,71.58,90.97,2025-04-01 15:20:05,2025-04-01 15:40:00
